(1, 32925, 32746, 30971, array([ 8544.,  -304., -4240.]), array([ 1468., -5368.,  -822.]), array([-505.,   68.,  118.]))
(1, 33874, 33754, 33516, array([ 8576.,  -304., -4240.]), array([ 1377., -5472.,  -783.]), array([-506.,   65.,  133.]))
(1, 35299, 34762, 33516, array([ 8624.,  -384., -4144.]), array([ 1323., -5601.,  -770.]), array([-506.,   65.,  133.]))
(1, 36248, 35770, 36061, array([ 8656.,  -496., -4176.]), array([ 1282., -5725.,  -727.]), array([-502.,   63.,  149.]))
(1, 37672, 36778, 36061, array([ 8560.,  -768., -4144.]), array([ 1090., -5831.,  -706.]), array([-502.,   63.,  149.]))
(1, 38621, 38795, 38606, array([ 8544.,  -800., -4112.]), array([  695., -6076.,  -658.]), array([-502.,   62.,  157.]))
(1, 39570, 39803, 38606, array([ 8528.,  -800., -4080.]), array([  416., -6159.,  -651.]), array([-502.,   62.,  157.]))
(1, 40994, 40811, 38606, array([ 8496.,  -800., -4096.]), array([  125., -6257.,  -621.]), array([-502.,   62.,  157.]))
(1, 41944, 41819, 41150, array([ 8448.,  -752., -4064.]), array([ -134., -6362.,  -586.]), array([-497.,   60.,  170.]))
(1, 42893, 42828, 41150, array([ 8432.,  -736., -4048.]), array([ -280., -6428.,  -529.]), array([-497.,   60.,  170.]))
(1, 44317, 43836, 43695, array([ 8480.,  -640., -4080.]), array([ -456., -6471.,  -483.]), array([-496.,   59.,  183.]))
(1, 45266, 44844, 43695, array([ 8560.,  -640., -4032.]), array([ -566., -6533.,  -438.]), array([-496.,   59.,  183.]))
(1, 46690, 45852, 46241, array([ 8560.,  -624., -3856.]), array([ -725., -6589.,  -392.]), array([-488.,   56.,  205.]))
(1, 47639, 46860, 46241, array([ 8544.,  -592., -3872.]), array([ -878., -6619.,  -378.]), array([-488.,   56.,  205.]))
(1, 48588, 48877, 48785, array([ 8480.,  -544., -3840.]), array([-1119., -6673.,  -308.]), array([-488.,   49.,  205.]))
(1, 50012, 49885, 48785, array([ 8416.,  -528., -3856.]), array([-1233., -6690.,  -320.]), array([-488.,   49.,  205.]))
(1, 50961, 50893, 48785, array([ 8432.,  -496., -3840.]), array([-1311., -6714.,  -336.]), array([-488.,   49.,  205.]))
(1, 51911, 51901, 51331, array([ 8352.,  -448., -3776.]), array([-1428., -6726.,  -374.]), array([-485.,   49.,  220.]))
(1, 53335, 52910, 51331, array([ 8336.,  -352., -3744.]), array([-1486., -6719.,  -388.]), array([-485.,   49.,  220.]))
(1, 54284, 53918, 53876, array([ 8272.,  -320., -3712.]), array([-1546., -6691.,  -409.]), array([-482.,   47.,  238.]))
(1, 55233, 54926, 53876, array([ 8256.,  -240., -3696.]), array([-1557., -6700.,  -430.]), array([-482.,   47.,  238.]))
(1, 56657, 55934, 56420, array([ 8176.,  -272., -3696.]), array([-1558., -6704.,  -430.]), array([-478.,   40.,  243.]))
(1, 57606, 57950, 56420, array([ 8016.,  -368., -3696.]), array([-1488., -6616.,  -444.]), array([-478.,   40.,  243.]))
(1, 59030, 58959, 58966, array([ 7840.,  -352., -3632.]), array([-1454., -6578.,  -460.]), array([-470.,   36.,  270.]))
(1, 59980, 59967, 58966, array([ 7728.,  -272., -3616.]), array([-1432., -6562.,  -484.]), array([-470.,   36.,  270.]))
(1, 60929, 60975, 58966, array([ 7680.,  -144., -3568.]), array([-1361., -6538.,  -502.]), array([-470.,   36.,  270.]))
(1, 62353, 61983, 61511, array([ 7584.,  -272., -3584.]), array([-1343., -6431.,  -535.]), array([-464.,   31.,  284.]))
(1, 63302, 62991, 61511, array([ 7472.,  -368., -3552.]), array([-1289., -6349.,  -534.]), array([-464.,   31.,  284.]))
(1, 64251, 64000, 64055, array([ 7344.,  -368., -3520.]), array([-1245., -6263.,  -539.]), array([-461.,   29.,  292.]))
(1, 139, 65008, 64055, array([ 7216.,  -304., -3520.]), array([-1281., -6210.,  -552.]), array([-461.,   29.,  292.]))
(1, 1088, 480, 1064, array([ 7248.,  -240., -3504.]), array([-1281., -6111.,  -578.]), array([-452.,   25.,  292.]))
(1, 2511, 2496, 1064, array([ 7184.,   -96., -3520.]), array([-1246., -5961.,  -538.]), array([-452.,   25.,  292.]))
(1, 3461, 3505, 3610, array([ 7152.,  -112., -3520.]), array([-1143., -5857.,  -532.]), array([-446.,   23.,  303.]))
(1, 4410, 4513, 3610, array([ 7040.,   -64., -3552.]), array([-1006., -5753.,  -506.]), array([-446.,   23.,  303.]))
