(1, 11593, 10702, 9995, array([ 5904., -1232., -3968.]), array([ 1249., -6542.,  3126.]), array([-371.,   96.,  399.]))
(1, 12542, 12718, 12541, array([ 5712., -1216., -3936.]), array([ 1176., -6354.,  3078.]), array([-359.,  101.,  409.]))
(1, 13491, 13726, 12541, array([ 5584., -1216., -3920.]), array([ 1146., -6289.,  3048.]), array([-359.,  101.,  409.]))
(1, 14915, 14735, 12541, array([ 5424., -1184., -3968.]), array([ 1127., -6161.,  2982.]), array([-359.,  101.,  409.]))
(1, 15864, 15743, 15085, array([ 5376., -1104., -4080.]), array([ 1021., -5975.,  2905.]), array([-354.,  108.,  409.]))
(1, 16813, 16751, 15085, array([ 5264., -1040., -4128.]), array([ 1008., -5819.,  2820.]), array([-354.,  108.,  409.]))
(1, 18237, 17759, 17631, array([ 5184.,  -976., -4016.]), array([  964., -5692.,  2740.]), array([-341.,  107.,  416.]))
(1, 19186, 18767, 17631, array([ 5056., -1008., -3856.]), array([  937., -5594.,  2678.]), array([-341.,  107.,  416.]))
(1, 20610, 19776, 20177, array([ 4848.,  -976., -3760.]), array([  980., -5536.,  2549.]), array([-325.,  118.,  427.]))
(1, 21559, 20784, 20177, array([ 4672.,  -912., -3792.]), array([  996., -5427.,  2447.]), array([-325.,  118.,  427.]))
(1, 22509, 22800, 22722, array([ 4464.,  -864., -3760.]), array([ 1052., -5191.,  2215.]), array([-325.,  122.,  427.]))
(1, 23933, 23809, 22722, array([ 4272.,  -880., -3808.]), array([ 1057., -5083.,  2123.]), array([-325.,  122.,  427.]))
(1, 24882, 24817, 22722, array([ 4144.,  -992., -3808.]), array([ 1026., -4946.,  2055.]), array([-325.,  122.,  427.]))
(1, 25831, 25825, 25268, array([ 4048., -1040., -3712.]), array([  918., -4821.,  2015.]), array([-315.,  123.,  433.]))
(1, 27255, 26833, 25268, array([ 4032., -1232., -3792.]), array([  866., -4729.,  1928.]), array([-315.,  123.,  433.]))
(1, 28204, 27841, 27815, array([ 3952., -1216., -3840.]), array([  699., -4557.,  1820.]), array([-310.,  128.,  443.]))
(1, 29153, 28850, 27815, array([ 3936., -1248., -3792.]), array([  526., -4393.,  1742.]), array([-310.,  128.,  443.]))
(1, 30577, 29858, 30361, array([ 3936., -1248., -3728.]), array([  397., -4258.,  1633.]), array([-303.,  133.,  440.]))
(1, 31525, 30866, 30361, array([ 3888., -1152., -3824.]), array([  223., -4124.,  1535.]), array([-303.,  133.,  440.]))
