-625,-382,858,914,591,344,124,47,-473,63,1078,-473,-1299,1431,3255,-70,-734,-3,241,1468,520,-1949,-2968,2767,-52,-295,-310
-691,-326,881,1035,659,258,141,23,-471,254,1095,-362,-1852,599,3498,-229,-686,-95,302,1564,741,-2149,-3608,2572,-140,-257,-332
-688,-353,888,876,605,37,146,13,-467,352,1033,-252,-1992,192,3465,-288,-654,-123,344,1677,583,-1748,-3736,2267,-254,-177,-335
-647,-296,791,631,578,-123,157,3,-464,651,1156,-100,-1705,-257,3292,-372,-591,-158,507,1506,795,-1988,-3495,1696,-343,-122,-318
-719,-265,801,476,543,-244,169,-8,-462,694,1048,-158,-1783,-738,3204,-422,-536,-180,746,1233,856,-2207,-4431,722,-423,-81,-273
-753,-286,809,600,505,-193,176,-21,-458,659,921,-131,-2228,-1112,3040,-492,-457,-186,843,1311,659,-1470,-4324,-95,-490,-50,-208
-790,-287,738,564,555,-251,183,-20,-453,832,980,37,-2003,-1512,2641,-530,-403,-177,726,1481,721,-838,-3060,-201,-545,-23,-132
-766,-259,764,368,515,-408,197,-27,-449,870,1039,-15,-1806,-1901,2326,-568,-341,-169,943,1331,533,-1973,-4362,-173,-580,0,-57
-722,-242,809,466,479,-491,204,-36,-442,825,810,-97,-2987,-2275,2196,-614,-237,-141,1225,1217,49,-3212,-4383,-1371,-597,8,56
-748,-257,813,547,456,-463,212,-35,-440,1000,574,-232,-4201,-2597,2075,-639,-169,-107,1422,1172,-139,-4022,-3840,-2291,-592,-8,145
-766,-271,792,513,438,-472,217,-43,-435,1106,575,-241,-4764,-2859,1775,-658,-115,-59,1517,1189,144,-4234,-4173,-2849,-556,-60,238
-732,-250,795,471,393,-563,221,-43,-432,1104,476,-373,-4987,-2872,1242,-673,-76,22,1638,1243,642,-3777,-4452,-3250,-478,-191,268
-708,-229,827,520,316,-584,225,-47,-429,1146,223,-431,-5010,-2780,553,-676,-76,70,1632,1139,921,-2846,-3633,-3584,-462,-262,226
